User country;Nr. reviews;Nr. hotel reviews;Helpful votes;Score;Period of stay;Traveler type;Pool;Gym;Tennis court;Spa;Casino;Free internet;Hotel name;Hotel stars;Nr. rooms;User continent;Member years;Review month;Review weekday
USA;11;4;13;5;Dec-Feb;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;9;January;Thursday
USA;119;21;75;3;Dec-Feb;Business;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;3;January;Friday
USA;36;9;25;5;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;February;Saturday
UK;14;7;14;4;Mar-May;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;6;February;Friday
Canada;5;5;2;4;Mar-May;Solo;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;7;March;Tuesday
Canada;31;8;27;3;Mar-May;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;March;Tuesday
UK;45;12;46;4;Mar-May;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;4;April;Friday
USA;2;1;4;4;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;0;April;Tuesday
India;24;3;8;4;Mar-May;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Asia;3;May;Saturday
Canada;12;7;11;3;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;5;May;Tuesday
USA;102;24;58;2;Jun-Aug;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;9;June;Friday
Australia;20;9;24;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;4;June;Saturday
USA;7;6;9;2;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;1;July;Wednesday
USA;22;5;13;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;1;July;Thursday
UK;3;3;0;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;1;August;Sunday
New Zeland;146;17;33;4;Jun-Aug;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;2;August;Saturday
Canada;8;8;9;1;Sep-Nov;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;4;September;Wednesday
USA;9;3;1;4;Sep-Nov;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;September;Saturday
Canada;41;9;19;3;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;October;Tuesday
USA;8;7;26;2;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;10;October;Monday
UK;10;5;2;4;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;7;November;Saturday
New Zeland;4;3;3;1;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;3;November;Monday
UK;18;7;19;4;Dec-Feb;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;0;December;Saturday
USA;4;4;3;2;Dec-Feb;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;5;December;Sunday
Ireland;29;11;15;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;3;January;Monday
USA;114;42;52;4;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;11;January;Saturday
Canada;30;12;17;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;8;February;Friday
UK;87;18;36;3;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;3;February;Thursday
USA;26;10;28;5;Mar-May;Solo;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;1;March;Wednesday
Ireland;8;7;9;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;8;March;Wednesday
Canada;11;8;13;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;7;April;Friday
Australia;4;3;2;3;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Oceania;0;April;Friday
Canada;56;8;7;3;Mar-May;Solo;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;1;May;Tuesday
Egypt;13;12;8;3;Mar-May;Friends;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Africa;4;May;Wednesday
Australia;58;9;15;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Oceania;0;June;Saturday
Finland;20;7;4;3;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;6;June;Saturday
USA;70;27;24;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;6;July;Friday
Kenya;6;3;7;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Africa;1;July;Thursday
USA;290;263;299;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;10;August;Monday
USA;24;6;9;2;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;2;August;Wednesday
Jordan;29;8;21;3;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;2;September;Wednesday
Canada;20;5;59;3;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;8;September;Saturday
Netherlands;3;3;3;3;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;4;October;Saturday
Ireland;47;6;27;4;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;5;October;Monday
USA;35;8;19;4;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;North America;6;November;Sunday
UK;6;0;4;4;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;1;November;Sunday
UK;74;47;54;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Europe;7;December;Wednesday
Syria;34;8;30;3;Dec-Feb;Solo;YES;YES;NO;YES;YES;YES;Excalibur Hotel & Casino;3;3981;Asia;4;December;Tuesday
UK;576;43;340;3;Dec-Feb;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;3;January;Monday
USA;20;8;11;4;Dec-Feb;Solo;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;5;January;Saturday
USA;418;32;132;2;Dec-Feb;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;3;February;Tuesday
USA;73;13;22;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;2;February;Tuesday
Canada;30;10;32;3;Mar-May;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;2;March;Wednesday
USA;63;15;17;4;Mar-May;Business;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;2;March;Tuesday
Scotland;24;10;13;5;Mar-May;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;5;April;Wednesday
South Africa;54;18;16;2;Mar-May;Business;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Africa;5;April;Tuesday
Australia;20;7;11;4;Mar-May;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Oceania;2;May;Friday
UK;41;7;24;4;Mar-May;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;3;May;Monday
Ireland;7;5;7;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;9;June;Tuesday
Canada;13;9;15;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;1;June;Monday
UK;10;5;4;4;Jun-Aug;Families;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;1;July;Friday
New Zeland;9;6;19;3;Jun-Aug;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Oceania;7;July;Wednesday
Swiss;36;19;36;2;Jun-Aug;Solo;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;5;August;Thursday
UK;33;12;19;3;Jun-Aug;Families;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;5;August;Saturday
United Arab Emirates;156;126;142;3;Sep-Nov;Friends;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Asia;8;September;Friday
Ireland;19;17;16;4;Sep-Nov;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;5;September;Wednesday
USA;23;17;11;3;Sep-Nov;Families;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;1;October;Friday
USA;13;3;3;2;Sep-Nov;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;1;October;Sunday
Hungary;8;5;8;4;Sep-Nov;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;8;November;Friday
China;1;0;2;1;Sep-Nov;Business;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Asia;0;November;Wednesday
Greece;21;18;6;2;Dec-Feb;Business;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;Europe;0;December;Sunday
Mexico;56;14;36;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;NO;Monte Carlo Resort&Casino;4;3003;North America;3;December;Monday
Croatia;29;11;14;3;Dec-Feb;Business;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Europe;6;January;Sunday
Australia;11;5;8;4;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Oceania;1;January;Thursday
Canada;19;12;167;4;Dec-Feb;Friends;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;9;February;Monday
USA;17;9;16;5;Dec-Feb;Solo;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;-1806;February;Monday
USA;43;8;20;4;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;1;March;Friday
Canada;12;8;3;4;Mar-May;Friends;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;2;March;Saturday
USA;15;14;7;4;Mar-May;Friends;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;9;April;Tuesday
Australia;16;13;16;3;Mar-May;Families;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Oceania;6;April;Wednesday
India;12;4;25;3;Mar-May;Families;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Asia;1;May;Friday
Germany;10;0;5;4;Mar-May;Friends;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Europe;3;May;Sunday
USA;27;17;16;3;Jun-Aug;Families;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;6;June;Thursday
Canada;6;5;5;4;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;2;June;Tuesday
Australia;21;20;14;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Oceania;3;July;Wednesday
Malaysia;43;14;27;4;Jun-Aug;Solo;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Asia;5;July;Thursday
Mexico;97;31;37;4;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;South America;8;August;Saturday
UK;7;3;4;4;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Europe;5;August;Friday
UK;11;9;6;3;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Europe;0;September;Friday
USA;78;11;30;4;Sep-Nov;Business;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;2;September;Tuesday
Australia;12;7;4;5;Sep-Nov;Families;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Oceania;5;October;Monday
USA;27;11;5;3;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;2;October;Monday
Thailand;4;3;1;5;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Asia;7;November;Friday
Australia;27;9;8;4;Sep-Nov;Families;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;Oceania;2;November;Friday
Canada;12;3;7;4;Dec-Feb;Friends;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;4;December;Saturday
Canada;21;16;48;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Treasure Island- TI Hotel & Casino;4;2884;North America;12;December;Thursday
UK;34;17;30;4;Dec-Feb;Families;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;8;January;Sunday
USA;12;6;1;5;Dec-Feb;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;North America;2;January;Sunday
Phillippines;79;39;51;3;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Asia;5;February;Wednesday
Israel;18;10;16;3;Dec-Feb;Business;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Asia;2;February;Thursday
Canada;13;3;8;4;Mar-May;Business;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;North America;3;March;Wednesday
UK;14;4;9;4;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;1;March;Friday
Ireland;19;9;28;5;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;3;April;Friday
India ;88;15;103;4;Mar-May;Business;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Asia;3;April;Monday
New Zeland;8;4;0;4;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Oceania;1;May;Tuesday
Belgium;39;15;31;3;Mar-May;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;1;May;Sunday
UK;130;41;61;4;Jun-Aug;Business;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;3;June;Tuesday
Australia;79;78;105;4;Jun-Aug;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Oceania;7;June;Wednesday
UK;13;10;16;4;Jun-Aug;Solo;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;10;July;Wednesday
UK;18;6;17;4;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;1;July;Monday
New Zeland;8;7;3;5;Jun-Aug;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Oceania;1;August;Saturday
Australia;15;4;6;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Oceania;0;August;Friday
Canada;27;0;9;1;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;North America;0;September;Tuesday
Australia;5;3;2;5;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Oceania;5;September;Wednesday
UK;22;6;6;5;Sep-Nov;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;1;October;Tuesday
USA;5;3;11;2;Sep-Nov;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;North America;1;October;Thursday
India;31;8;11;4;Sep-Nov;Solo;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Asia;1;November;Sunday
Netherlands;33;8;8;5;Sep-Nov;Friends;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;7;November;Saturday
UK;10;6;11;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;4;December;Saturday
UK;12;3;3;5;Dec-Feb;Families;YES;YES;YES;YES;YES;YES;Tropicana Las Vegas - A Double Tree by Hilton Hotel;4;1467;Europe;4;December;Thursday
USA;50;14;24;5;Dec-Feb;Friends;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;7;January;Wednesday
USA;161;33;85;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;3;January;Friday
Puerto Rico;153;38;81;5;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;10;February;Tuesday
Canada;14;3;12;5;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;2;February;Thursday
USA;31;12;10;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;4;March;Friday
USA;15;10;29;3;Mar-May;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;9;March;Friday
Canada;5;5;4;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;3;April;Thursday
USA;46;4;21;4;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;2;April;Saturday
UK;15;6;39;1;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Europe;4;May;Sunday
UK;63;27;35;4;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Europe;5;May;Wednesday
USA;17;15;13;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;2;June;Sunday
USA;25;22;36;1;Jun-Aug;Solo;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;9;June;Tuesday
USA;14;8;4;5;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;1;July;Monday
UK;59;56;37;3;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Europe;6;July;Tuesday
UK;11;10;17;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Europe;3;August;Friday
Canada;54;18;31;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;5;August;Wednesday
USA;4;3;4;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;3;September;Monday
USA;10;7;7;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;3;September;Tuesday
USA;14;6;7;5;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;11;October;Sunday
USA;39;12;16;5;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;2;October;Thursday
Australia;35;24;43;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Oceania;4;November;Sunday
Australia;6;6;9;3;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;Oceania;0;November;Sunday
USA;23;7;2;4;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;3;December;Friday
USA;48;21;67;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Caesars Palace;5;3348;North America;13;December;Sunday
Australia;16;9;14;4;Dec-Feb;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Oceania;3;January;Thursday
Australia;12;6;3;5;Dec-Feb;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Oceania;1;January;Thursday
Switzerland;36;9;15;4;Dec-Feb;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;2;February;Saturday
UK;127;40;80;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;8;February;Wednesday
USA;12;5;1;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;1;March;Monday
USA;17;17;74;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;10;March;Saturday
Ireland;23;7;21;4;Mar-May;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;7;April;Thursday
USA;102;17;45;5;Mar-May;Business;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;2;April;Monday
Germany;113;15;55;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;8;May;Thursday
USA;30;8;10;2;Mar-May;Business;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;1;May;Wednesday
Germany;24;24;24;2;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;7;June;Wednesday
Ireland;15;5;18;5;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;3;June;Wednesday
USA;6;4;14;1;Jun-Aug;Business;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;1;July;Wednesday
Australia;3;3;0;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Oceania;7;July;Tuesday
Canada;41;10;56;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;4;August;Saturday
USA;19;8;56;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;10;August;Sunday
UK;18;9;10;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;1;September;Wednesday
Norway;6;6;7;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;7;September;Tuesday
USA;103;5;98;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;7;October;Monday
