User country;Nr. reviews;Nr. hotel reviews;Helpful votes;Score;Period of stay;Traveler type;Pool;Gym;Tennis court;Spa;Casino;Free internet;Hotel name;Hotel stars;Nr. rooms;User continent;Member years;Review month;Review weekday
UK;18;4;16;5;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Europe;0;October;Friday
Egypt;9;7;7;5;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;Africa;5;November;Wednesday
USA;50;19;45;5;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;0;November;Friday
Canada;4;3;8;2;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;8;December;Tuesday
USA;7;3;8;5;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;The Cosmopolitan Las Vegas;5;2959;North America;5;December;Sunday
Mexico;28;23;31;3;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;4;January;Friday
USA;32;6;11;5;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;10;January;Friday
Canada;4;0;4;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;9;February;Friday
USA;37;8;9;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;3;February;Tuesday
Canada;10;3;7;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;6;March;Wednesday
Canada;36;30;80;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;8;March;Friday
USA;31;10;14;4;Mar-May;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;5;April;Sunday
Canada;66;33;60;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;10;April;Saturday
France;17;4;8;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Europe;0;May;Saturday
UK;57;20;71;5;Mar-May;Business;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Europe;0;May;Friday
USA;42;8;22;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;6;June;Monday
USA;28;20;14;3;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;8;June;Friday
Spain;19;8;10;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Europe;3;July;Wednesday
USA;20;11;21;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;9;July;Friday
UK;75;19;93;4;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Europe;8;August;Sunday
USA;91;16;26;4;Jun-Aug;Business;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;3;August;Wednesday
UK;52;48;78;3;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Europe;8;September;Saturday
USA;93;4;8;5;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;2;September;Saturday
Canada;9;3;15;5;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;1;October;Wednesday
Australia;5;3;9;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Oceania;2;October;Thursday
Singapore;37;7;10;5;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;Asia;0;November;Sunday
Brazil;31;25;35;3;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;South America;7;November;Sunday
USA;6;4;4;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;7;December;Thursday
USA;252;55;113;4;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;The Palazzo Resort Hotel Casino;5;3025;North America;8;December;Monday
USA;164;48;82;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;4;January;Saturday
USA;5;3;9;5;Dec-Feb;Families;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;4;January;Tuesday
Canada;7;5;20;4;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;3;February;Saturday
USA;18;11;15;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;7;February;Tuesday
USA;20;13;16;5;Mar-May;Friends;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;6;March;Friday
USA;21;5;12;4;Mar-May;Business;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;8;March;Monday
USA;125;35;48;5;Mar-May;Business;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;4;April;Sunday
USA;11;7;10;4;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;1;April;Monday
Singapore;16;10;16;3;Mar-May;Solo;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Asia;7;May;Monday
UK;19;5;5;5;Mar-May;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Europe;3;May;Monday
USA;73;27;365;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;6;June;Wednesday
USA;5;4;4;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;11;June;Wednesday
USA;30;10;17;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;3;July;Monday
Canada;7;4;10;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;3;July;Sunday
Canada;67;46;99;5;Jun-Aug;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;6;August;Sunday
Finland;18;13;25;5;Jun-Aug;Solo;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Europe;9;August;Saturday
Canada;12;7;11;2;Sep-Nov;Business;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;4;September;Monday
Canada;40;12;26;5;Sep-Nov;Friends;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;7;September;Saturday
USA;142;17;31;4;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;3;October;Monday
UK;8;4;16;5;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Europe;7;October;Saturday
Costa Rica;15;9;3;5;Sep-Nov;Business;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;2;November;Monday
UK;2;18;14;5;Sep-Nov;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Europe;8;November;Wednesday
UK;10;6;10;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;Europe;5;December;Tuesday
USA;16;13;55;5;Dec-Feb;Couples;YES;YES;YES;YES;YES;YES;Wynn Las Vegas;5;2700;North America;9;December;Tuesday
UK;21;7;13;5;Dec-Feb;Solo;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Europe;10;January;Tuesday
India;69;58;41;5;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Asia;5;January;Saturday
USA;33;13;8;5;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;5;February;Wednesday
USA;1;0;2;5;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;0;February;Tuesday
USA;49;8;23;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;5;March;Monday
USA;775;52;255;3;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;2;March;Wednesday
United Arab Emirates;16;7;6;4;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Asia;7;April;Monday
USA;1;0;1;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;0;April;Wednesday
Singapore;19;11;17;4;Mar-May;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Asia;7;May;Friday
Brazil;7;4;8;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;South America;7;May;Sunday
USA;38;18;16;5;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;8;June;Sunday
USA;48;14;30;5;Jun-Aug;Business;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;9;June;Wednesday
Canada;136;20;55;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;3;July;Sunday
USA;26;8;1;4;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;6;July;Monday
Iran;3;3;2;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Asia;4;August;Sunday
USA;78;17;24;5;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;5;August;Monday
UK;24;18;12;5;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Europe;0;September;Thursday
Egypt;2;0;15;1;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Africa;1;September;Monday
Ireland;4;3;3;5;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Europe;11;October;Thursday
Australia;11;7;17;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Oceania;2;October;Saturday
Germany;1;0;1;2;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Europe;0;November;Wednesday
Australia;35;16;17;4;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;Oceania;2;November;Tuesday
USA;110;19;76;4;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;2;December;Tuesday
USA;53;25;24;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Trump International Hotel Las Vegas;5;1282;North America;3;December;Sunday
Saudi Arabia;320;45;102;3;Dec-Feb;Business;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;Asia;6;January;Tuesday
USA;2;0;2;4;Dec-Feb;Business;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;1;January;Saturday
USA;26;6;12;5;Dec-Feb;Families;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;1;February;Sunday
USA;4;4;0;5;Dec-Feb;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;2;February;Monday
USA;9;9;6;2;Mar-May;Solo;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;1;March;Wednesday
USA;17;14;70;5;Mar-May;Friends;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;10;March;Sunday
Canada;3;0;1;5;Mar-May;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;1;April;Tuesday
Canada;14;0;4;2;Mar-May;Families;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;4;April;Tuesday
USA;235;111;267;5;Mar-May;Friends;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;9;May;Friday
USA;59;9;21;5;Mar-May;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;3;May;Monday
USA;2;0;2;5;Jun-Aug;Friends;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;0;June;Wednesday
USA;2;0;1;5;Jun-Aug;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;0;June;Wednesday
USA;21;18;53;5;Jun-Aug;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;11;July;Wednesday
USA;4;0;16;1;Jun-Aug;Friends;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;0;July;Thursday
Netherlands;184;52;70;5;Jun-Aug;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;Europe;3;August;Wednesday
UK;262;75;150;4;Jun-Aug;Families;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;Europe;2;August;Monday
USA;69;11;17;5;Sep-Nov;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;0;September;Sunday
Australia;92;12;27;4;Sep-Nov;Business;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;Oceania;2;September;Saturday
USA;131;61;116;3;Sep-Nov;Families;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;8;October;Thursday
Norway;25;10;16;5;Sep-Nov;Friends;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;Europe;8;October;Tuesday
Canada;49;22;53;3;Sep-Nov;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;5;November;Sunday
USA;148;33;55;4;Sep-Nov;Business;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;3;November;Wednesday
Canada;26;7;22;4;Dec-Feb;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;4;December;Wednesday
USA;13;4;1;4;Dec-Feb;Couples;YES;NO;NO;NO;YES;YES;The Cromwell;4,5;188;North America;2;December;Wednesday
Thailand;3;3;20;1;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Asia;5;January;Tuesday
USA;46;12;87;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;3;January;Tuesday
UK;127;40;81;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;8;February;Thursday
USA;15;5;12;5;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;4;February;Sunday
USA;16;14;23;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;7;March;Friday
USA;113;38;27;4;Mar-May;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;1;March;Tuesday
UK;7;5;5;3;Mar-May;Families;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;7;April;Monday
Honduras;73;32;99;4;Mar-May;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;South America;10;April;Thursday
USA;35;12;3;5;Mar-May;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;2;May;Friday
UK;139;20;86;5;Mar-May;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;5;May;Monday
UK;28;12;30;5;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;2;June;Saturday
USA;34;8;26;4;Jun-Aug;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;4;June;Tuesday
USA;4;3;5;5;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;3;July;Thursday
USA;32;11;14;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;3;July;Sunday
UK;9;3;4;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;1;August;Thursday
USA;333;58;200;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;4;August;Sunday
USA;29;11;15;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;6;September;Monday
UK;85;43;68;5;Sep-Nov;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;5;September;Wednesday
USA;12;5;1;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;5;October;Friday
UK;34;10;7;4;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Europe;4;October;Thursday
India;13;7;8;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;Asia;5;November;Sunday
USA;5;5;14;5;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;5;November;Sunday
USA;169;25;41;5;Dec-Feb;Friends;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;8;December;Tuesday
USA;11;10;6;5;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Encore at wynn Las Vegas;5;2034;North America;7;December;Tuesday
USA;4;3;2;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;6;January;Friday
USA;50;39;48;2;Dec-Feb;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;10;January;Thursday
Mexico;10;3;1;5;Dec-Feb;Business;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;4;February;Tuesday
Canada;7;4;4;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;1;February;Friday
UK;60;7;42;5;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;8;March;Tuesday
Netherlands;92;49;18;4;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;5;March;Thursday
Australia;106;37;58;4;Mar-May;Business;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Oceania;3;April;Wednesday
Canada;7;5;45;4;Mar-May;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;10;April;Monday
Brazil;37;31;38;5;Mar-May;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;South America;9;May;Friday
USA;70;25;19;1;Mar-May;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;3;May;Friday
USA;9;3;4;5;Jun-Aug;Friends;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;1;June;Monday
USA;11;6;7;5;Jun-Aug;Solo;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;1;June;Monday
Finland;39;18;9;4;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;4;July;Thursday
UK;10;0;9;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;1;July;Wednesday
USA;78;17;24;4;Jun-Aug;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;5;August;Monday
UK;48;21;19;5;Jun-Aug;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;4;August;Friday
Canada;112;34;41;5;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;7;September;Sunday
USA;28;17;14;5;Sep-Nov;Solo;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;2;September;Wednesday
UK;11;3;16;2;Sep-Nov;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Europe;2;October;Wednesday
USA;9;5;11;4;Sep-Nov;Business;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;9;October;Wednesday
USA;4;4;1;3;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;0;November;Wednesday
Mexico;22;15;25;4;Sep-Nov;Families;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;6;November;Monday
USA;42;11;36;5;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;North America;7;December;Monday
Australia;20;16;9;4;Dec-Feb;Couples;YES;YES;NO;YES;YES;YES;Hilton Grand Vacations on the Boulevard;3,5;1228;Oceania;7;December;Tuesday
Canada;160;34;88;4;Dec-Feb;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;6;January;Saturday
USA;372;78;169;4;Dec-Feb;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;4;January;Sunday
USA;84;18;36;5;Dec-Feb;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;4;February;Wednesday
USA;21;13;20;5;Dec-Feb;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;5;February;Thursday
UK;95;37;55;4;Mar-May;Friends;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Europe;6;March;Tuesday
Germany;118;107;131;5;Mar-May;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Europe;10;March;Monday
Canada;6;0;8;5;Mar-May;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;10;April;Wednesday
USA;60;4;31;4;Mar-May;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;2;April;Tuesday
Australia;275;79;339;4;Mar-May;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Oceania;7;May;Sunday
Canada;46;39;42;4;Mar-May;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;6;May;Wednesday
USA;6;5;6;5;Jun-Aug;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;4;June;Tuesday
Australia;11;0;5;5;Jun-Aug;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Oceania;0;June;Thursday
USA;75;37;48;5;Jun-Aug;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;6;July;Saturday
Denmark;240;76;115;5;Jun-Aug;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Europe;3;July;Monday
Taiwan;20;12;7;5;Jun-Aug;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Asia;1;August;Wednesday
Israel;62;40;25;5;Jun-Aug;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Asia;5;August;Sunday
Hawaii;88;19;58;5;Sep-Nov;Friends;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;1;September;Wednesday
USA;6;3;5;5;Sep-Nov;Friends;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;0;September;Tuesday
Thailand;18;9;8;3;Sep-Nov;Business;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Asia;7;October;Monday
Mexico;159;43;78;5;Sep-Nov;Families;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;North America;4;October;Wednesday
Kuwait;47;23;20;4;Sep-Nov;Couples;YES;YES;NO;NO;YES;YES;Marriott's Grand Chateau;3,5;732;Asia;1;November;Thursday
