observation_date,IPG3113N
1972-01-01,85.6945
1972-02-01,71.8200
1972-03-01,66.0229
1972-04-01,64.5645
1972-05-01,65.0100
1972-06-01,67.6467
1972-07-01,69.0429
1972-08-01,70.8370
1972-09-01,75.0462
1972-10-01,106.9289
1972-11-01,105.5962
1972-12-01,105.9673
1973-01-01,91.2997
1973-02-01,77.2700
1973-03-01,69.6110
1973-04-01,70.2986
1973-05-01,71.6822
1973-06-01,74.8635
1973-07-01,72.0464
1973-08-01,73.1748
1973-09-01,80.5915
1973-10-01,102.9200
1973-11-01,109.2524
1973-12-01,105.2210
1974-01-01,88.6985
1974-02-01,83.6098
1974-03-01,77.2300
1974-04-01,67.3209
1974-05-01,74.6196
1974-06-01,79.5858
1974-07-01,66.0568
1974-08-01,71.1864
1974-09-01,70.1750
1974-10-01,99.2212
1974-11-01,101.1201
1974-12-01,86.8930
1975-01-01,67.0117
1975-02-01,52.6964
1975-03-01,50.6689
1975-04-01,59.7613
1975-05-01,60.8277
1975-06-01,63.3629
1975-07-01,62.3089
1975-08-01,66.9021
1975-09-01,66.3200
1975-10-01,96.3411
1975-11-01,105.6285
1975-12-01,102.1819
1976-01-01,87.9578
1976-02-01,75.1878
1976-03-01,62.0101
1976-04-01,64.4758
1976-05-01,70.5454
1976-06-01,68.2086
1976-07-01,69.3122
1976-08-01,71.5922
1976-09-01,76.9073
1976-10-01,107.9049
1976-11-01,111.6584
1976-12-01,113.9655
1977-01-01,97.3515
1977-02-01,90.0083
1977-03-01,77.2871
1977-04-01,76.0459
1977-05-01,77.9316
1977-06-01,78.3077
1977-07-01,75.8701
1977-08-01,78.1822
1977-09-01,84.2727
1977-10-01,109.2254
1977-11-01,106.1656
1977-12-01,113.0575
1978-01-01,90.1141
1978-02-01,80.4678
1978-03-01,76.4640
1978-04-01,77.4211
1978-05-01,76.7081
1978-06-01,78.1769
1978-07-01,72.4653
1978-08-01,75.9054
1978-09-01,82.7320
1978-10-01,105.0435
1978-11-01,111.6915
1978-12-01,114.0821
1979-01-01,98.6382
1979-02-01,84.7727
1979-03-01,81.0653
1979-04-01,77.1607
1979-05-01,78.3780
1979-06-01,81.0958
1979-07-01,74.7939
1979-08-01,77.1113
1979-09-01,80.8078
1979-10-01,101.0970
1979-11-01,106.7263
1979-12-01,105.6220
1980-01-01,86.9268
1980-02-01,84.4365
1980-03-01,74.4834
1980-04-01,65.5610
1980-05-01,74.3631
1980-06-01,76.9925
1980-07-01,71.0376
1980-08-01,77.2616
1980-09-01,77.9510
1980-10-01,100.8283
1980-11-01,106.7109
1980-12-01,107.0469
1981-01-01,96.3481
1981-02-01,90.4918
1981-03-01,78.0943
1981-04-01,78.0284
1981-05-01,83.3531
1981-06-01,83.0404
1981-07-01,79.2798
1981-08-01,81.7679
1981-09-01,83.2954
1981-10-01,118.4981
1981-11-01,116.9605
1981-12-01,113.2558
1982-01-01,95.9863
1982-02-01,92.9899
1982-03-01,83.0765
1982-04-01,73.5603
1982-05-01,76.4383
1982-06-01,78.5492
1982-07-01,76.3145
1982-08-01,77.7653
1982-09-01,81.3017
1982-10-01,114.1349
1982-11-01,114.9389
1982-12-01,115.1824
1983-01-01,95.1877
1983-02-01,87.1973
1983-03-01,77.9717
1983-04-01,73.7339
1983-05-01,75.5696
1983-06-01,74.7701
1983-07-01,76.3340
1983-08-01,79.5580
1983-09-01,82.8953
1983-10-01,110.4480
1983-11-01,106.5100
1983-12-01,103.9983
1984-01-01,93.8437
1984-02-01,86.3220
1984-03-01,78.9029
1984-04-01,75.6699
1984-05-01,77.8830
1984-06-01,77.6690
1984-07-01,76.9080
1984-08-01,81.2320
1984-09-01,85.8844
1984-10-01,112.1683
1984-11-01,115.5118
1984-12-01,112.8158
1985-01-01,97.6849
1985-02-01,87.1184
1985-03-01,79.1429
1985-04-01,76.2069
1985-05-01,77.3304
1985-06-01,75.8357
1985-07-01,75.1953
1985-08-01,79.9166
1985-09-01,89.5288
1985-10-01,112.2728
1985-11-01,113.6916
1985-12-01,117.1114
1986-01-01,97.3994
1986-02-01,93.6471
1986-03-01,78.8262
1986-04-01,73.6548
1986-05-01,76.5236
1986-06-01,76.7767
1986-07-01,73.4034
1986-08-01,79.5478
1986-09-01,88.4485
1986-10-01,115.9014
1986-11-01,119.4066
1986-12-01,115.4294
1987-01-01,97.1736
1987-02-01,94.2793
1987-03-01,83.6225
1987-04-01,77.3408
1987-05-01,78.0336
1987-06-01,79.1708
1987-07-01,76.1298
1987-08-01,83.5260
1987-09-01,90.7704
1987-10-01,121.6259
1987-11-01,124.8565
1987-12-01,122.6595
1988-01-01,95.8055
1988-02-01,95.3010
1988-03-01,89.8740
1988-04-01,80.8266
1988-05-01,82.4593
1988-06-01,86.7724
1988-07-01,90.7579
1988-08-01,98.0626
1988-09-01,102.5171
1988-10-01,125.7369
1988-11-01,123.4990
1988-12-01,122.4540
1989-01-01,102.9508
1989-02-01,102.3499
1989-03-01,93.4219
1989-04-01,88.7382
1989-05-01,87.9183
1989-06-01,90.5658
1989-07-01,89.7340
1989-08-01,96.5697
1989-09-01,101.0261
1989-10-01,120.0367
1989-11-01,123.3104
1989-12-01,125.9960
1990-01-01,99.9894
1990-02-01,101.2116
1990-03-01,94.8477
1990-04-01,88.4239
1990-05-01,88.6775
1990-06-01,92.7610
1990-07-01,96.9885
1990-08-01,102.3169
1990-09-01,108.6388
1990-10-01,124.4571
1990-11-01,133.2020
1990-12-01,134.4426
1991-01-01,107.4831
1991-02-01,111.4080
1991-03-01,104.8112
1991-04-01,96.0485
1991-05-01,94.9222
1991-06-01,102.6901
1991-07-01,100.1583
1991-08-01,109.7879
1991-09-01,111.1361
1991-10-01,124.0982
1991-11-01,129.3138
1991-12-01,124.9696
1992-01-01,104.3101
1992-02-01,102.7870
1992-03-01,94.9205
1992-04-01,92.0467
1992-05-01,89.7304
1992-06-01,92.8576
1992-07-01,92.1938
1992-08-01,96.2302
1992-09-01,104.1677
1992-10-01,118.9880
1992-11-01,122.1755
1992-12-01,121.4803
1993-01-01,105.0701
1993-02-01,102.2842
1993-03-01,94.8146
1993-04-01,89.6044
1993-05-01,88.4397
1993-06-01,94.8144
1993-07-01,95.7128
1993-08-01,103.4214
1993-09-01,108.6304
1993-10-01,124.8315
1993-11-01,124.8048
1993-12-01,122.7720
1994-01-01,105.3330
1994-02-01,100.7475
1994-03-01,98.4825
1994-04-01,89.3258
1994-05-01,87.0124
1994-06-01,93.7943
1994-07-01,96.4548
1994-08-01,102.9823
1994-09-01,109.7563
1994-10-01,123.0683
1994-11-01,123.1853
1994-12-01,124.9834
1995-01-01,107.7064
1995-02-01,99.2227
1995-03-01,96.1946
1995-04-01,94.2656
1995-05-01,93.5966
1995-06-01,98.2886
1995-07-01,98.2274
1995-08-01,102.2729
1995-09-01,107.2035
1995-10-01,120.4112
1995-11-01,123.8626
1995-12-01,128.9061
1996-01-01,104.1852
1996-02-01,105.5477
1996-03-01,102.9177
1996-04-01,94.8080
1996-05-01,97.0557
1996-06-01,100.4093
1996-07-01,98.2829
1996-08-01,108.0978
1996-09-01,114.7798
1996-10-01,126.2366
1996-11-01,133.8463
1996-12-01,136.1510
1997-01-01,110.6349
1997-02-01,109.6545
1997-03-01,106.5499
1997-04-01,98.1605
1997-05-01,97.3783
1997-06-01,101.5750
1997-07-01,98.3122
1997-08-01,109.9673
1997-09-01,115.0362
1997-10-01,129.5071
1997-11-01,135.1607
1997-12-01,136.0268
1998-01-01,119.7766
1998-02-01,117.1886
1998-03-01,110.8164
1998-04-01,106.1647
1998-05-01,107.1149
1998-06-01,110.8432
1998-07-01,109.0117
1998-08-01,117.6771
1998-09-01,120.9282
1998-10-01,132.6661
1998-11-01,136.9855
1998-12-01,135.9605
1999-01-01,117.3789
1999-02-01,114.6903
1999-03-01,107.1010
1999-04-01,106.2725
1999-05-01,107.8371
1999-06-01,108.3356
1999-07-01,107.8132
1999-08-01,112.5035
1999-09-01,116.6453
1999-10-01,131.6485
1999-11-01,131.7630
1999-12-01,134.5654
2000-01-01,123.1325
2000-02-01,119.7423
2000-03-01,113.9508
2000-04-01,115.9481
2000-05-01,108.7202
2000-06-01,114.2071
2000-07-01,111.8737
2000-08-01,117.9027
2000-09-01,125.6499
2000-10-01,136.8146
2000-11-01,135.6331
2000-12-01,138.7040
2001-01-01,122.5767
2001-02-01,121.8879
2001-03-01,118.5969
2001-04-01,114.6967
2001-05-01,112.9349
2001-06-01,115.3333
2001-07-01,113.4896
2001-08-01,119.6772
2001-09-01,123.5141
2001-10-01,125.5298
2001-11-01,128.7324
2001-12-01,129.6597
2002-01-01,117.5658
2002-02-01,114.5385
2002-03-01,110.3068
2002-04-01,104.6927
2002-05-01,101.8499
2002-06-01,112.2162
2002-07-01,110.4021
2002-08-01,117.5309
2002-09-01,119.4877
2002-10-01,124.0385
2002-11-01,128.5738
2002-12-01,124.1789
2003-01-01,113.0303
2003-02-01,111.1786
2003-03-01,111.2168
2003-04-01,105.1536
2003-05-01,107.6101
2003-06-01,111.6628
2003-07-01,102.8517
2003-08-01,113.1477
2003-09-01,116.8135
2003-10-01,125.1860
2003-11-01,132.7907
2003-12-01,128.8211
2004-01-01,116.1890
2004-02-01,117.6700
2004-03-01,103.9096
2004-04-01,102.2036
2004-05-01,109.8036
2004-06-01,106.2960
2004-07-01,106.1117
2004-08-01,116.2320
2004-09-01,120.7290
2004-10-01,132.3043
2004-11-01,133.1452
2004-12-01,129.9987
2005-01-01,124.5687
2005-02-01,123.9260
2005-03-01,107.2575
2005-04-01,106.8015
2005-05-01,111.4551
2005-06-01,107.1940
2005-07-01,110.2132
2005-08-01,114.8196
2005-09-01,119.7252
2005-10-01,137.1695
2005-11-01,136.3902
2005-12-01,139.9153
2006-01-01,118.2816
2006-02-01,117.8165
2006-03-01,108.4194
2006-04-01,107.5783
2006-05-01,101.9894
2006-06-01,101.9425
2006-07-01,101.7114
2006-08-01,112.0216
2006-09-01,118.6654
2006-10-01,129.6397
2006-11-01,130.3710
2006-12-01,132.0261
2007-01-01,121.7363
2007-02-01,116.4986
2007-03-01,112.6224
2007-04-01,99.4400
2007-05-01,98.0703
2007-06-01,94.9320
2007-07-01,91.3872
2007-08-01,100.7496
2007-09-01,110.1524
2007-10-01,115.9774
2007-11-01,118.4564
2007-12-01,120.7117
2008-01-01,108.7465
2008-02-01,101.7820
2008-03-01,97.2060
2008-04-01,91.8637
2008-05-01,88.9254
2008-06-01,89.0084
2008-07-01,85.1186
2008-08-01,88.5622
2008-09-01,103.2736
2008-10-01,114.0601
2008-11-01,115.8743
2008-12-01,101.7672
2009-01-01,89.9004
2009-02-01,88.9836
2009-03-01,85.5603
2009-04-01,79.7102
2009-05-01,80.2515
2009-06-01,79.5651
2009-07-01,82.3126
2009-08-01,89.0494
2009-09-01,101.1519
2009-10-01,123.6728
2009-11-01,117.0719
2009-12-01,116.5435
2010-01-01,100.3797
2010-02-01,99.0155
2010-03-01,91.9654
2010-04-01,89.4914
2010-05-01,89.9713
2010-06-01,89.5047
2010-07-01,96.4638
2010-08-01,106.7689
2010-09-01,115.8542
2010-10-01,126.2773
2010-11-01,117.7195
2010-12-01,118.7519
2011-01-01,103.0635
2011-02-01,102.5548
2011-03-01,98.9834
2011-04-01,97.5274
2011-05-01,91.3629
2011-06-01,89.6899
2011-07-01,89.6268
2011-08-01,91.8899
2011-09-01,93.9062
2011-10-01,116.7634
2011-11-01,116.8258
2011-12-01,114.9563
2012-01-01,99.9662
2012-02-01,99.0417
2012-03-01,94.1484
2012-04-01,87.6950
2012-05-01,85.3510
2012-06-01,86.5815
2012-07-01,89.5217
2012-08-01,98.2967
2012-09-01,112.2694
2012-10-01,114.9091
2012-11-01,116.0791
2012-12-01,116.1401
2013-01-01,107.0733
2013-02-01,102.0263
2013-03-01,102.6319
2013-04-01,95.3206
2013-05-01,91.7584
2013-06-01,91.8125
2013-07-01,92.4299
2013-08-01,100.3593
2013-09-01,105.5167
2013-10-01,117.3458
2013-11-01,121.6179
2013-12-01,123.2412
2014-01-01,104.5665
2014-02-01,103.9509
2014-03-01,101.0708
2014-04-01,93.0044
2014-05-01,88.4073
2014-06-01,89.3661
2014-07-01,88.0949
2014-08-01,98.0799
2014-09-01,106.8675
2014-10-01,119.7665
2014-11-01,129.0619
2014-12-01,128.5528
2015-01-01,109.9525
2015-02-01,108.9073
2015-03-01,106.5261
2015-04-01,101.0631
2015-05-01,96.7802
2015-06-01,100.8339
2015-07-01,102.8290
2015-08-01,115.9030
2015-09-01,115.8964
2015-10-01,126.7440
2015-11-01,124.5176
2015-12-01,120.2374
2016-01-01,108.5041
2016-02-01,108.1308
2016-03-01,107.9417
2016-04-01,103.6179
2016-05-01,102.0816
2016-06-01,102.4044
2016-07-01,102.9512
2016-08-01,104.6977
2016-09-01,109.3191
2016-10-01,119.0502
2016-11-01,116.8431
2016-12-01,116.4535
2017-01-01,109.4666
2017-02-01,113.4661
2017-03-01,105.2245
2017-04-01,107.4288
2017-05-01,101.9209
2017-06-01,104.2022
2017-07-01,102.5861
2017-08-01,114.0613
