Obs;Make;Model;Type;Origin;DriveTrain;MSRP;Invoice;EngineSize;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Length
216;Land Rover;Range Rover HSE;SUV;Europe;All;$72,250;$65,807;4.4;8;282;12;16;5379;113;195
217;Land Rover;Discovery SE;SUV;Europe;All;$39,250;$35,777;4.6;8;217;12;16;4576;100;185
218;Land Rover;Freelander SE;SUV;Europe;All;$25,995;$23,969;2.5;6;174;18;21;3577;101;175
219;Lexus;GX 470;SUV;Asia;All;$45,700;$39,838;4.7;8;235;15;19;4740;110;188
220;Lexus;LX 470;SUV;Asia;All;$64,800;$56,455;4.7;8;235;13;17;5590;112;193
221;Lexus;RX 330;SUV;Asia;All;$39,195;$34,576;3.3;6;230;18;24;4065;107;186
222;Lexus;ES 330 4dr;Sedan;Asia;Front;$32,350;$28,755;3.3;6;225;20;29;3460;107;191
223;Lexus;IS 300 4dr manual;Sedan;Asia;Rear;$31,045;$27,404;3;6;215;18;25;3255;105;177
224;Lexus;IS 300 4dr auto;Sedan;Asia;Rear;$32,415;$28,611;3;6;215;18;24;3285;105;177
225;Lexus;GS 300 4dr;Sedan;Asia;Rear;$41,010;$36,196;3;6;220;18;25;3649;110;189
226;Lexus;GS 430 4dr;Sedan;Asia;Rear;$48,450;$42,232;4.3;8;300;18;23;3715;110;189
227;Lexus;LS 430 4dr;Sedan;Asia;Rear;$55,750;$48,583;4.3;8;290;18;25;3990;115;197
228;Lexus;SC 430 convertible 2dr;Sports;Asia;Rear;$63,200;$55,063;4.3;8;300;18;23;3840;103;178
229;Lexus;IS 300 SportCross;Wagon;Asia;Rear;$32,455;$28,647;3;6;215;18;24;3410;105;177
230;Lincoln;Navigator Luxury;SUV;USA;All;$52,775;$46,360;5.4;8;300;13;18;5969;119;206
231;Lincoln;Aviator Ultimate;SUV;USA;Front;$42,915;$39,443;4.6;8;302;13;18;4834;114;193
232;Lincoln;LS V6 Luxury 4dr;Sedan;USA;Rear;$32,495;$29,969;3;6;232;20;26;3681;115;194
233;Lincoln;LS V6 Premium 4dr;Sedan;USA;Rear;$36,895;$33,929;3;6;232;20;26;3681;115;194
234;Lincoln;LS V8 Sport 4dr;Sedan;USA;Rear;$40,095;$36,809;3.9;8;280;17;24;3768;115;194
235;Lincoln;LS V8 Ultimate 4dr;Sedan;USA;Rear;$43,495;$39,869;3.9;8;280;17;24;3768;115;194
236;Lincoln;Town Car Signature 4dr;Sedan;USA;Rear;$41,815;$38,418;4.6;8;239;17;25;4369;118;215
237;Lincoln;Town Car Ultimate 4dr;Sedan;USA;Rear;$44,925;$41,217;4.6;8;239;17;25;4369;118;215
238;Lincoln;Town Car Ultimate L 4dr;Sedan;USA;Rear;$50,470;$46,208;4.6;8;239;17;25;4474;124;221
239;MINI;Cooper;Sedan;Europe;Front;$16,999;$15,437;1.6;4;115;28;37;2524;97;143
240;MINI;Cooper S;Sedan;Europe;Front;$19,999;$18,137;1.6;4;163;25;34;2678;97;144
241;Mazda;Tribute DX 2.0;SUV;Asia;All;$21,087;$19,742;2;4;130;22;25;3091;103;173
242;Mazda;Mazda3 i 4dr;Sedan;Asia;Front;$15,500;$14,525;2;4;148;26;34;2696;104;178
243;Mazda;Mazda3 s 4dr;Sedan;Asia;Front;$17,200;$15,922;2.3;4;160;25;31;2762;104;179
244;Mazda;Mazda6 i 4dr;Sedan;Asia;Front;$19,270;$17,817;2.3;4;160;24;32;3042;105;187
245;Mazda;MPV ES;Sedan;Asia;Front;$28,750;$26,600;3;6;200;18;25;3812;112;188
246;Mazda;MX-5 Miata convertible 2dr;Sports;Asia;Rear;$22,388;$20,701;1.8;4;142;23;28;2387;89;156
247;Mazda;MX-5 Miata LS convertible 2dr;Sports;Asia;Rear;$25,193;$23,285;1.8;4;142;23;28;2387;89;156
248;Mazda;RX-8 4dr automatic;Sports;Asia;Rear;$25,700;$23,794;1.3;.;197;18;25;3053;106;174
249;Mazda;RX-8 4dr manual;Sports;Asia;Rear;$27,200;$25,179;1.3;.;238;18;24;3029;106;174
250;Mazda;B2300 SX Regular Cab;Truck;Asia;Rear;$14,840;$14,070;2.3;4;143;24;29;2960;112;188
251;Mazda;B4000 SE Cab Plus;Truck;Asia;All;$22,350;$20,482;4;6;207;15;19;3571;126;203
252;Mercedes-Benz;G500;SUV;Europe;All;$76,870;$71,540;5;8;292;13;14;5423;112;186
253;Mercedes-Benz;ML500;SUV;Europe;All;$46,470;$43,268;5;8;288;14;17;4874;111;183
254;Mercedes-Benz;C230 Sport 2dr;Sedan;Europe;Rear;$26,060;$24,249;1.8;4;189;22;30;3250;107;178
255;Mercedes-Benz;C320 Sport 2dr;Sedan;Europe;Rear;$28,370;$26,435;3.2;6;215;19;26;3430;107;178
256;Mercedes-Benz;C240 4dr;Sedan;Europe;Rear;$32,280;$30,071;2.6;6;168;20;25;3360;107;178
257;Mercedes-Benz;C240 4dr;Sedan;Europe;All;$33,480;$31,187;2.6;6;168;19;25;3360;107;178
258;Mercedes-Benz;C320 Sport 4dr;Sedan;Europe;Rear;$35,920;$33,456;3.2;6;215;19;26;3430;107;178
259;Mercedes-Benz;C320 4dr;Sedan;Europe;Rear;$37,630;$35,046;3.2;6;215;20;26;3450;107;178
260;Mercedes-Benz;C320 4dr;Sedan;Europe;All;$38,830;$36,162;3.2;6;215;19;27;3450;107;178
261;Mercedes-Benz;C32 AMG 4dr;Sedan;Europe;Rear;$52,120;$48,522;3.2;6;349;16;21;3540;107;178
262;Mercedes-Benz;CL500 2dr;Sedan;Europe;Rear;$94,820;$88,324;5;8;302;16;24;4085;114;196
263;Mercedes-Benz;CL600 2dr;Sedan;Europe;Rear;$128,420;$119,600;5.5;12;493;13;19;4473;114;196
264;Mercedes-Benz;CLK320 coupe 2dr (convertible);Sedan;Europe;Rear;$45,707;$41,966;3.2;6;215;20;26;3770;107;183
265;Mercedes-Benz;CLK500 coupe 2dr (convertible);Sedan;Europe;Rear;$52,800;$49,104;5;8;302;17;22;3585;107;183
266;Mercedes-Benz;E320 4dr;Sedan;Europe;Rear;$48,170;$44,849;3.2;6;221;19;27;3635;112;190
267;Mercedes-Benz;E500 4dr;Sedan;Europe;Rear;$57,270;$53,382;5;8;302;16;20;3815;112;190
268;Mercedes-Benz;S430 4dr;Sedan;Europe;Rear;$74,320;$69,168;4.3;8;275;18;26;4160;122;203
269;Mercedes-Benz;S500 4dr;Sedan;Europe;All;$86,970;$80,939;5;8;302;16;24;4390;122;203
270;Mercedes-Benz;SL500 convertible 2dr;Sports;Europe;Rear;$90,520;$84,325;5;8;302;16;23;4065;101;179
271;Mercedes-Benz;SL55 AMG 2dr;Sports;Europe;Rear;$121,770;$113,388;5.5;8;493;14;21;4235;101;179
272;Mercedes-Benz;SL600 convertible 2dr;Sports;Europe;Rear;$126,670;$117,854;5.5;12;493;13;19;4429;101;179
273;Mercedes-Benz;SLK230 convertible 2dr;Sports;Europe;Rear;$40,320;$37,548;2.3;4;192;21;29;3055;95;158
274;Mercedes-Benz;SLK32 AMG 2dr;Sports;Europe;Rear;$56,170;$52,289;3.2;6;349;17;22;3220;95;158
275;Mercedes-Benz;C240;Wagon;Europe;Rear;$33,780;$31,466;2.6;6;168;19;25;3470;107;179
276;Mercedes-Benz;E320;Wagon;Europe;Rear;$50,670;$47,174;3.2;6;221;19;27;3966;112;190
277;Mercedes-Benz;E500;Wagon;Europe;All;$60,670;$56,474;5;8;302;16;24;4230;112;190
278;Mercury;Mountaineer;SUV;USA;Front;$29,995;$27,317;4;6;210;16;21;4374;114;190
279;Mercury;Sable GS 4dr;Sedan;USA;Front;$21,595;$19,848;3;6;155;20;27;3308;109;200
280;Mercury;Grand Marquis GS 4dr;Sedan;USA;Rear;$24,695;$23,217;4.6;8;224;17;25;4052;115;212
281;Mercury;Grand Marquis LS Premium 4dr;Sedan;USA;Rear;$29,595;$27,148;4.6;8;224;17;25;4052;115;212
282;Mercury;Sable LS Premium 4dr;Sedan;USA;Front;$23,895;$21,918;3;6;201;19;26;3315;109;200
283;Mercury;Grand Marquis LS Ultimate 4dr;Sedan;USA;Rear;$30,895;$28,318;4.6;8;224;17;25;4052;115;212
284;Mercury;Marauder 4dr;Sedan;USA;Rear;$34,495;$31,558;4.6;8;302;17;23;4195;115;212
285;Mercury;Monterey Luxury;Sedan;USA;Front;$33,995;$30,846;4.2;6;201;16;23;4340;121;202
286;Mercury;Sable GS;Wagon;USA;Front;$22,595;$20,748;3;6;155;19;26;3488;109;198
287;Mitsubishi;Endeavor XLS;SUV;Asia;All;$30,492;$28,330;3.8;6;215;17;21;4134;109;190
288;Mitsubishi;Montero XLS;SUV;Asia;All;$33,112;$30,763;3.8;6;215;15;19;4718;110;190
289;Mitsubishi;Outlander LS;SUV;Asia;Front;$18,892;$17,569;2.4;4;160;21;27;3240;103;179
290;Mitsubishi;Lancer ES 4dr;Sedan;Asia;Front;$14,622;$13,751;2;4;120;25;31;2656;102;181
291;Mitsubishi;Lancer LS 4dr;Sedan;Asia;Front;$16,722;$15,718;2;4;120;25;31;2795;102;181
292;Mitsubishi;Galant ES 2.4L 4dr;Sedan;Asia;Front;$19,312;$17,957;2.4;4;160;23;30;3351;108;191
293;Mitsubishi;Lancer OZ Rally 4dr auto;Sedan;Asia;Front;$17,232;$16,196;2;4;120;25;31;2744;102;181
294;Mitsubishi;Diamante LS 4dr;Sedan;Asia;Front;$29,282;$27,250;3.5;6;205;18;25;3549;107;194
295;Mitsubishi;Galant GTS 4dr;Sedan;Asia;Front;$25,700;$23,883;3.8;6;230;18;26;3649;108;191
296;Mitsubishi;Eclipse GTS 2dr;Sports;Asia;Front;$25,092;$23,456;3;6;210;21;28;3241;101;177
297;Mitsubishi;Eclipse Spyder GT convertible 2dr;Sports;Asia;Front;$26,992;$25,218;3;6;210;21;28;3296;101;177
298;Mitsubishi;Lancer Evolution 4dr;Sports;Asia;Front;$29,562;$27,466;2;4;271;18;26;3263;103;179
299;Mitsubishi;Lancer Sportback LS;Wagon;Asia;Front;$17,495;$16,295;2.4;4;160;25;31;3020;102;181
300;Nissan;Pathfinder Armada SE;SUV;Asia;Front;$33,840;$30,815;5.6;8;305;13;19;5013;123;207
301;Nissan;Pathfinder SE;SUV;Asia;Front;$27,339;$25,972;3.5;6;240;16;21;3871;106;183
302;Nissan;Xterra XE V6;SUV;Asia;Front;$20,939;$19,512;3.3;6;180;17;20;3760;104;178
303;Nissan;Sentra 1.8 4dr;Sedan;Asia;Front;$12,740;$12,205;1.8;4;126;28;35;2513;100;178
304;Nissan;Sentra 1.8 S 4dr;Sedan;Asia;Front;$14,740;$13,747;1.8;4;126;28;35;2581;100;178
305;Nissan;Altima S 4dr;Sedan;Asia;Front;$19,240;$18,030;2.5;4;175;21;26;3039;110;192
306;Nissan;Sentra SE-R 4dr;Sedan;Asia;Front;$17,640;$16,444;2.5;4;165;23;28;2761;100;178
307;Nissan;Altima SE 4dr;Sedan;Asia;Front;$23,290;$21,580;3.5;6;245;21;26;3197;110;192
308;Nissan;Maxima SE 4dr;Sedan;Asia;Front;$27,490;$25,182;3.5;6;265;20;28;3473;111;194
309;Nissan;Maxima SL 4dr;Sedan;Asia;Front;$29,440;$26,966;3.5;6;265;20;28;3476;111;194
310;Nissan;Quest S;Sedan;Asia;Front;$24,780;$22,958;3.5;6;240;19;26;4012;124;204
311;Nissan;Quest SE;Sedan;Asia;Front;$32,780;$30,019;3.5;6;240;18;25;4175;124;204
312;Nissan;350Z coupe 2dr;Sports;Asia;Rear;$26,910;$25,203;3.5;6;287;20;26;3188;104;169
313;Nissan;350Z Enthusiast convertible 2dr;Sports;Asia;Rear;$34,390;$31,845;3.5;6;287;20;26;3428;104;169
314;Nissan;Frontier King Cab XE V6;Truck;Asia;All;$19,479;$18,253;3.3;6;180;17;20;3932;116;191
315;Nissan;Titan King Cab XE;Truck;Asia;All;$26,650;$24,926;5.6;8;305;14;18;5287;140;224
316;Nissan;Murano SL;Wagon;Asia;Rear;$28,739;$27,300;3.5;6;245;20;25;3801;111;188
317;Oldsmobile;Alero GX 2dr;Sedan;USA;Front;$18,825;$17,642;2.2;4;140;24;32;2946;107;187
318;Oldsmobile;Alero GLS 2dr;Sedan;USA;Front;$23,675;$21,485;3.4;6;170;20;29;3085;107;187
319;Oldsmobile;Silhouette GL;Sedan;USA;Front;$28,790;$26,120;3.4;6;185;19;26;3948;120;201
320;Pontiac;Aztekt;SUV;USA;Front;$21,595;$19,810;3.4;6;185;19;26;3779;108;182
321;Pontiac;Sunfire 1SA 2dr;Sedan;USA;Front;$15,495;$14,375;2.2;4;140;24;33;2771;104;182
322;Pontiac;Grand Am GT 2dr;Sedan;USA;Front;$22,450;$20,595;3.4;6;175;20;29;3118;107;186
323;Pontiac;Grand Prix GT1 4dr;Sedan;USA;Front;$22,395;$20,545;3.8;6;200;20;30;3477;111;198
324;Pontiac;Sunfire 1SC 2dr;Sedan;USA;Front;$17,735;$16,369;2.2;4;140;24;33;2771;104;182
325;Pontiac;Grand Prix GT2 4dr;Sedan;USA;Front;$24,295;$22,284;3.8;6;200;20;30;3484;111;198
326;Pontiac;Bonneville GXP 4dr;Sedan;USA;Front;$35,995;$32,997;4.6;8;275;17;20;3790;112;203
327;Pontiac;Montana;Sedan;USA;Front;$23,845;$21,644;3.4;6;185;19;26;3803;112;187
328;Pontiac;Montana EWB;Sedan;USA;All;$31,370;$28,454;3.4;6;185;18;24;4431;121;201
329;Pontiac;GTO 2dr;Sports;USA;Rear;$33,500;$30,710;5.7;8;340;16;20;3725;110;190
330;Pontiac;Vibe;Wagon;USA;Rear;$17,045;$15,973;1.8;4;130;29;36;2701;102;172
331;Porsche;Cayenne S;SUV;Europe;All;$56,665;$49,865;4.5;8;340;14;18;4950;112;188
332;Porsche;911 Carrera convertible 2dr (coupe);Sports;Europe;Rear;$79,165;$69,229;3.6;6;315;18;26;3135;93;175
333;Porsche;911 Carrera 4S coupe 2dr (convert);Sports;Europe;All;$84,165;$72,206;3.6;6;315;17;24;3240;93;175
334;Porsche;911 Targa coupe 2dr;Sports;Europe;Rear;$76,765;$67,128;3.6;6;315;18;26;3119;93;175
335;Porsche;911 GT2 2dr;Sports;Europe;Rear;$192,465;$173,560;3.6;6;477;17;24;3131;93;175
336;Porsche;Boxster convertible 2dr;Sports;Europe;Rear;$43,365;$37,886;2.7;6;228;20;29;2811;95;170
337;Porsche;Boxster S convertible 2dr;Sports;Europe;Rear;$52,365;$45,766;3.2;6;258;18;26;2911;95;170
338;Saab;9-3 Arc Sport 4dr;Sedan;Europe;Front;$30,860;$29,269;2;4;210;20;28;3175;105;183
339;Saab;9-3 Aero 4dr;Sedan;Europe;Front;$33,360;$31,562;2;4;210;20;28;3175;105;183
340;Saab;9-5 Arc 4dr;Sedan;Europe;Front;$35,105;$33,011;2.3;4;220;21;29;3470;106;190
341;Saab;9-5 Aero 4dr;Sedan;Europe;Front;$39,465;$37,721;2.3;4;250;21;29;3470;106;190
342;Saab;9-3 Arc convertible 2dr;Sedan;Europe;Front;$40,670;$38,520;2;4;210;21;29;3480;105;182
343;Saab;9-3 Aero convertible 2dr;Sedan;Europe;Front;$43,175;$40,883;2;4;210;21;30;3700;105;182
344;Saab;9-5 Aero;Wagon;Europe;Front;$40,845;$38,376;2.3;4;250;19;29;3620;106;190
345;Saturn;VUE;SUV;USA;All;$20,585;$19,238;2.2;4;143;21;26;3381;107;181
346;Saturn;Ion1 4dr;Sedan;USA;Front;$10,995;$10,319;2.2;4;140;26;35;2692;103;185
347;Saturn;lon2 4dr;Sedan;USA;Front;$14,300;$13,393;2.2;4;140;26;35;2692;103;185
348;Saturn;lon3 4dr;Sedan;USA;Front;$15,825;$14,811;2.2;4;140;26;35;2692;103;185
349;Saturn;lon2 quad coupe 2dr;Sedan;USA;Front;$14,850;$13,904;2.2;4;140;26;35;2751;103;185
350;Saturn;lon3 quad coupe 2dr;Sedan;USA;Front;$16,350;$15,299;2.2;4;140;26;35;2751;103;185
351;Saturn;L300-2 4dr;Sedan;USA;Front;$21,410;$19,801;3;6;182;20;28;3197;107;190
352;Saturn;L300 2;Wagon;USA;Front;$23,560;$21,779;2.2;4;140;24;34;3109;107;190
353;Scion;xA 4dr hatch;Sedan;Asia;Front;$12,965;$12,340;1.5;4;108;32;38;2340;93;154
354;Scion;xB;Wagon;Asia;Front;$14,165;$13,480;1.5;4;108;31;35;2425;98;155
355;Subaru;Impreza 2.5 RS 4dr;Sedan;Asia;All;$19,945;$18,399;2.5;4;165;22;28;2965;99;174
356;Subaru;Legacy L 4dr;Sedan;Asia;All;$20,445;$18,713;2.5;4;165;21;28;3285;104;184
357;Subaru;Legacy GT 4dr;Sedan;Asia;All;$25,645;$23,336;2.5;4;165;21;28;3395;104;184
358;Subaru;Outback Limited Sedan 4dr;Sedan;Asia;All;$27,145;$24,687;2.5;4;165;20;27;3495;104;184
359;Subaru;Outback H6 4dr;Sedan;Asia;All;$29,345;$26,660;3;6;212;19;26;3610;104;184
360;Subaru;Outback H-6 VDC 4dr;Sedan;Asia;All;$31,545;$28,603;3;6;212;19;26;3630;104;184
361;Subaru;Impreza WRX 4dr;Sports;Asia;All;$25,045;$23,022;2;4;227;20;27;3085;99;174
362;Subaru;Impreza WRX STi 4dr;Sports;Asia;All;$31,545;$29,130;2.5;4;300;18;24;3263;100;174
363;Subaru;Baja;Truck;Asia;All;$24,520;$22,304;2.5;4;165;21;28;3485;104;193
364;Subaru;Forester X;Wagon;Asia;All;$21,445;$19,646;2.5;4;165;21;28;3090;99;175
365;Subaru;Outback;Wagon;Asia;All;$23,895;$21,773;2.5;4;165;21;28;3430;104;187
366;Suzuki;XL-7 EX;SUV;Asia;Front;$23,699;$22,307;2.7;6;185;18;22;3682;110;187
367;Suzuki;Vitara LX;SUV;Asia;All;$17,163;$16,949;2.5;6;165;19;22;3020;98;163
368;Suzuki;Aeno S 4dr;Sedan;Asia;Front;$12,884;$12,719;2.3;4;155;25;31;2676;98;171
369;Suzuki;Aerio LX 4dr;Sedan;Asia;Front;$14,500;$14,317;2.3;4;155;25;31;2676;98;171
370;Suzuki;Forenza S 4dr;Sedan;Asia;Front;$12,269;$12,116;2;4;119;24;31;2701;102;177
371;Suzuki;Forenza EX 4dr;Sedan;Asia;Front;$15,568;$15,378;2;4;119;22;30;2756;102;177
372;Suzuki;Verona LX 4dr;Sedan;Asia;Front;$17,262;$17,053;2.5;6;155;20;27;3380;106;188
373;Suzuki;Aerio SX;Wagon;Asia;All;$16,497;$16,291;2.3;4;155;24;29;2932;98;167
374;Toyota;Prius 4dr (gas/electric);Hybrid;Asia;Front;$20,510;$18,926;1.5;4;110;59;51;2890;106;175
375;Toyota;Sequoia SR5;SUV;Asia;All;$35,695;$31,827;4.7;8;240;14;17;5270;118;204
376;Toyota;4Runner SR5 V6;SUV;Asia;Front;$27,710;$24,801;4;6;245;18;21;4035;110;189
377;Toyota;Highlander V6;SUV;Asia;All;$27,930;$24,915;3.3;6;230;18;24;3935;107;185
378;Toyota;Land Cruiser;SUV;Asia;All;$54,765;$47,986;4.7;8;325;13;17;5390;112;193
379;Toyota;RAV4;SUV;Asia;All;$20,290;$18,553;2.4;4;161;22;27;3119;98;167
380;Toyota;Corolla CE 4dr;Sedan;Asia;Front;$14,085;$13,065;1.8;4;130;32;40;2502;102;178
381;Toyota;Corolla S 4dr;Sedan;Asia;Front;$15,030;$13,650;1.8;4;130;32;40;2524;102;178
382;Toyota;Corolla LE 4dr;Sedan;Asia;Front;$15,295;$13,889;1.8;4;130;32;40;2524;102;178
383;Toyota;Echo 2dr manual;Sedan;Asia;Front;$10,760;$10,144;1.5;4;108;35;43;2035;93;163
384;Toyota;Echo 2dr auto;Sedan;Asia;Front;$11,560;$10,896;1.5;4;108;33;39;2085;93;163
385;Toyota;Echo 4dr;Sedan;Asia;Front;$11,290;$10,642;1.5;4;108;35;43;2055;93;163
386;Toyota;Camry LE 4dr;Sedan;Asia;Front;$19,560;$17,558;2.4;4;157;24;33;3086;107;189
387;Toyota;Camry LE V6 4dr;Sedan;Asia;Front;$22,775;$20,325;3;6;210;21;29;3296;107;189
388;Toyota;Camry Solara SE 2dr;Sedan;Asia;Front;$19,635;$17,722;2.4;4;157;24;33;3175;107;193
389;Toyota;Camry Solara SE V6 2dr;Sedan;Asia;Front;$21,965;$19,819;3.3;6;225;20;29;3417;107;193
390;Toyota;Avalon XL 4dr;Sedan;Asia;Front;$26,560;$23,693;3;6;210;21;29;3417;107;192
391;Toyota;Camry XLE V6 4dr;Sedan;Asia;Front;$25,920;$23,125;3;6;210;21;29;3362;107;189
392;Toyota;Camry Solara SLE V6 2dr;Sedan;Asia;Front;$26,510;$23,908;3.3;6;225;20;29;3439;107;193
393;Toyota;Avalon XLS 4dr;Sedan;Asia;Front;$30,920;$27,271;3;6;210;21;29;3439;107;192
394;Toyota;Sienna CE;Sedan;Asia;Front;$23,495;$21,198;3.3;6;230;19;27;4120;119;200
395;Toyota;Sienna XLE Limited;Sedan;Asia;Front;$28,800;$25,690;3.3;6;230;19;27;4165;119;200
396;Toyota;Celica GT-S 2dr;Sports;Asia;Front;$22,570;$20,363;1.8;4;180;24;33;2500;102;171
397;Toyota;MR2 Spyder convertible 2dr;Sports;Asia;Rear;$25,130;$22,787;1.8;4;138;26;32;2195;97;153
398;Toyota;Tacoma;Truck;Asia;Rear;$12,800;$11,879;2.4;4;142;22;27;2750;103;191
399;Toyota;Tundra Regular Cab V6;Truck;Asia;Rear;$16,495;$14,978;3.4;6;190;16;18;3925;128;218
400;Toyota;Tundra Access Cab V6 SR5;Truck;Asia;All;$25,935;$23,520;3.4;6;190;14;17;4435;128;218
401;Toyota;Matrix XR;Wagon;Asia;Front;$16,695;$15,156;1.8;4;130;29;36;2679;102;171
402;Volkswagen;Touareg V6;SUV;Europe;All;$35,515;$32,243;3.2;6;220;15;20;5086;112;187
403;Volkswagen;Golf GLS 4dr;Sedan;Europe;Front;$18,715;$17,478;2;4;115;24;31;2897;99;165
404;Volkswagen;GTI 1.8T 2dr hatch;Sedan;Europe;Front;$19,825;$18,109;1.8;4;180;24;31;2934;99;168
405;Volkswagen;Jetta GLS TDI 4dr;Sedan;Europe;Front;$21,055;$19,638;1.9;4;100;38;46;3003;99;172
406;Volkswagen;New Beetle GLS 1.8T 2dr;Sedan;Europe;Front;$21,055;$19,638;1.8;4;150;24;31;2820;99;161
407;Volkswagen;Jetta GLI VR6 4dr;Sedan;Europe;Front;$23,785;$21,686;2.8;6;200;21;30;3179;99;172
408;Volkswagen;New Beetle GLS convertible 2dr;Sedan;Europe;Front;$23,215;$21,689;2;4;115;24;30;3082;99;161
409;Volkswagen;Passat GLS 4dr;Sedan;Europe;Front;$23,955;$21,898;1.8;4;170;22;31;3241;106;185
410;Volkswagen;Passat GLX V6 4MOTION 4dr;Sedan;Europe;Front;$33,180;$30,583;2.8;6;190;19;26;3721;106;185
411;Volkswagen;Passat W8 4MOTION 4dr;Sedan;Europe;Front;$39,235;$36,052;4;8;270;18;25;3953;106;185
412;Volkswagen;Phaeton 4dr;Sedan;Europe;Front;$65,000;$59,912;4.2;8;335;16;22;5194;118;204
413;Volkswagen;Phaeton W12 4dr;Sedan;Europe;Front;$75,000;$69,130;6;12;420;12;19;5399;118;204
414;Volkswagen;Jetta GL;Wagon;Europe;Front;$19,005;$17,427;2;4;115;24;30;3034;99;174
415;Volkswagen;Passat GLS 1.8T;Wagon;Europe;Front;$24,955;$22,801;1.8;4;170;22;31;3338;106;184
416;Volkswagen;Passat W8;Wagon;Europe;Front;$40,235;$36,956;4;8;270;18;25;4067;106;184
417;Volvo;XC90 T6;SUV;Europe;All;$41,250;$38,851;2.9;6;268;15;20;4638;113;189
418;Volvo;S40 4dr;Sedan;Europe;Front;$25,135;$23,701;1.9;4;170;22;29;2767;101;178
419;Volvo;S60 2.5 4dr;Sedan;Europe;All;$31,745;$29,916;2.5;5;208;20;27;3903;107;180
420;Volvo;S60 T5 4dr;Sedan;Europe;Front;$34,845;$32,902;2.3;5;247;20;28;3766;107;180
421;Volvo;S60 R 4dr;Sedan;Europe;All;$37,560;$35,382;2.5;5;300;18;25;3571;107;181
422;Volvo;S80 2.9 4dr;Sedan;Europe;Front;$37,730;$35,542;2.9;6;208;20;28;3576;110;190
423;Volvo;S80 2.5T 4dr;Sedan;Europe;All;$37,885;$35,688;2.5;5;194;20;27;3691;110;190
424;Volvo;C70 LPT convertible 2dr;Sedan;Europe;Front;$40,565;$38,203;2.4;5;197;21;28;3450;105;186
425;Volvo;C70 HPT convertible 2dr;Sedan;Europe;Front;$42,565;$40,083;2.3;5;242;20;26;3450;105;186
426;Volvo;S80 T6 4dr;Sedan;Europe;Front;$45,210;$42,573;2.9;6;268;19;26;3653;110;190
427;Volvo;V40;Wagon;Europe;Front;$26,135;$24,641;1.9;4;170;22;29;2822;101;180
428;Volvo;XC70;Wagon;Europe;All;$35,145;$33,112;2.5;5;208;20;27;3823;109;186
