city,year,weekofyear,total_cases
sj,2004,3,14
sj,2004,4,10
sj,2004,5,21
sj,2004,6,14
sj,2004,7,14
sj,2004,8,9
sj,2004,9,11
sj,2004,10,5
sj,2004,11,6
sj,2004,12,7
sj,2004,13,11
sj,2004,14,4
sj,2004,15,3
sj,2004,16,2
sj,2004,17,6
sj,2004,18,10
sj,2004,19,7
sj,2004,20,5
sj,2004,21,3
sj,2004,22,12
sj,2004,23,13
sj,2004,24,10
sj,2004,25,13
sj,2004,26,13
sj,2004,27,8
sj,2004,28,21
sj,2004,29,18
sj,2004,30,8
sj,2004,31,7
sj,2004,32,20
sj,2004,33,14
sj,2004,34,14
sj,2004,35,7
sj,2004,36,14
sj,2004,37,10
sj,2004,38,13
sj,2004,39,27
sj,2004,40,13
sj,2004,41,18
sj,2004,42,16
sj,2004,43,16
sj,2004,44,20
sj,2004,45,17
sj,2004,46,4
sj,2004,47,15
sj,2004,48,8
sj,2004,49,6
sj,2004,50,12
sj,2004,51,15
sj,2004,52,11
sj,2005,53,10
sj,2005,1,15
sj,2005,2,17
sj,2005,3,7
sj,2005,4,7
sj,2005,5,8
sj,2005,6,9
sj,2005,7,12
sj,2005,8,12
sj,2005,9,5
sj,2005,10,4
sj,2005,11,11
sj,2005,12,4
sj,2005,13,5
sj,2005,14,7
sj,2005,15,1
sj,2005,16,1
sj,2005,17,4
sj,2005,18,2
sj,2005,19,6
sj,2005,20,3
sj,2005,21,4
sj,2005,22,10
sj,2005,23,12
sj,2005,24,21
sj,2005,25,26
sj,2005,26,21
sj,2005,27,30
sj,2005,28,45
sj,2005,29,56
sj,2005,30,75
sj,2005,31,83
sj,2005,32,82
sj,2005,33,126
sj,2005,34,119
sj,2005,35,137
sj,2005,36,131
sj,2005,37,112
sj,2005,38,82
sj,2005,39,73
sj,2005,40,43
sj,2005,41,55
sj,2005,42,55
sj,2005,43,53
sj,2005,44,46
sj,2005,45,43
sj,2005,46,29
sj,2005,47,22
sj,2005,48,26
sj,2005,49,13
sj,2005,50,17
sj,2005,51,8
sj,2006,52,13
sj,2006,1,10
sj,2006,2,17
sj,2006,3,19
sj,2006,4,9
sj,2006,5,9
sj,2006,6,9
sj,2006,7,3
sj,2006,8,7
sj,2006,9,7
sj,2006,10,0
sj,2006,11,2
sj,2006,12,3
sj,2006,13,3
sj,2006,14,1
sj,2006,15,3
sj,2006,16,3
sj,2006,17,3
sj,2006,18,7
sj,2006,19,3
sj,2006,20,5
sj,2006,21,11
sj,2006,22,5
sj,2006,23,5
sj,2006,24,6
sj,2006,25,6
sj,2006,26,4
sj,2006,27,4
sj,2006,28,8
sj,2006,29,14
sj,2006,30,12
sj,2006,31,16
sj,2006,32,10
sj,2006,33,16
sj,2006,34,18
sj,2006,35,15
sj,2006,36,23
sj,2006,37,17
sj,2006,38,33
sj,2006,39,15
sj,2006,40,13
sj,2006,41,11
sj,2006,42,14
sj,2006,43,17
sj,2006,44,19
sj,2006,45,20
sj,2006,46,12
sj,2006,47,21
sj,2006,48,7
sj,2006,49,19
sj,2006,50,10
sj,2006,51,13
sj,2007,1,10
sj,2007,2,8
sj,2007,3,21
sj,2007,4,11
sj,2007,5,9
sj,2007,6,14
sj,2007,7,14
sj,2007,8,15
sj,2007,9,18
sj,2007,10,16
sj,2007,11,12
sj,2007,12,20
sj,2007,13,8
sj,2007,14,3
sj,2007,15,13
sj,2007,16,4
sj,2007,17,1
sj,2007,18,10
sj,2007,19,8
sj,2007,20,13
sj,2007,21,10
sj,2007,22,21
sj,2007,23,18
sj,2007,24,21
sj,2007,25,34
sj,2007,26,25
sj,2007,27,34
sj,2007,28,33
sj,2007,29,40
sj,2007,30,42
sj,2007,31,36
sj,2007,32,72
sj,2007,33,75
sj,2007,34,76
sj,2007,35,92
sj,2007,36,71
sj,2007,37,112
sj,2007,38,106
sj,2007,39,101
sj,2007,40,170
sj,2007,41,135
sj,2007,42,106
sj,2007,43,68
sj,2007,44,48
sj,2007,45,48
sj,2007,46,26
sj,2007,47,33
sj,2007,48,29
sj,2007,49,17
sj,2007,50,12
sj,2007,51,13
sj,2007,52,17
sj,2008,1,15
sj,2008,2,14
sj,2008,3,15
sj,2008,4,10
sj,2008,5,9
sj,2008,6,2
sj,2008,7,6
sj,2008,8,8
sj,2008,9,5
sj,2008,10,1
sj,2008,11,2
sj,2008,12,3
sj,2008,13,4
sj,2008,14,3
sj,2008,15,1
sj,2008,16,3
sj,2008,17,5
iq,2000,26,0
iq,2000,27,0
iq,2000,28,0
iq,2000,29,0
iq,2000,30,0
iq,2000,31,0
iq,2000,32,0
iq,2000,33,0
iq,2000,34,0
iq,2000,35,0
iq,2000,36,1
iq,2000,37,0
iq,2000,38,0
iq,2000,39,0
iq,2000,40,0
iq,2000,41,1
iq,2000,42,1
iq,2000,43,0
iq,2000,44,0
iq,2000,45,0
iq,2000,46,0
iq,2000,47,0
iq,2000,48,0
iq,2000,49,0
iq,2000,50,1
iq,2000,51,0
iq,2001,1,0
iq,2001,2,0
iq,2001,3,0
iq,2001,4,0
iq,2001,5,0
iq,2001,6,0
iq,2001,7,0
iq,2001,8,0
iq,2001,9,0
iq,2001,10,0
iq,2001,11,0
iq,2001,12,0
iq,2001,13,0
iq,2001,14,0
iq,2001,15,0
iq,2001,16,1
iq,2001,17,0
iq,2001,18,0
iq,2001,19,0
iq,2001,20,0
iq,2001,21,1
iq,2001,22,1
iq,2001,23,0
iq,2001,24,0
iq,2001,25,1
iq,2001,26,0
iq,2001,27,0
iq,2001,28,0
iq,2001,29,0
iq,2001,30,0
iq,2001,31,0
iq,2001,32,0
iq,2001,33,0
iq,2001,34,0
iq,2001,35,0
iq,2001,36,0
iq,2001,37,0
iq,2001,38,0
iq,2001,39,0
iq,2001,40,0
iq,2001,41,0
iq,2001,42,0
iq,2001,43,0
iq,2001,44,0
iq,2001,45,0
iq,2001,46,0
iq,2001,47,1
iq,2001,48,1
iq,2001,49,1
iq,2001,50,2
iq,2001,51,4
iq,2001,52,1
iq,2002,1,4
iq,2002,2,11
iq,2002,3,16
iq,2002,4,23
iq,2002,5,12
iq,2002,6,14
iq,2002,7,18
iq,2002,8,8
iq,2002,9,7
iq,2002,10,10
iq,2002,11,7
iq,2002,12,10
iq,2002,13,5
iq,2002,14,11
iq,2002,15,8
iq,2002,16,18
iq,2002,17,13
iq,2002,18,9
iq,2002,19,22
iq,2002,20,10
iq,2002,21,5
iq,2002,22,13
iq,2002,23,2
iq,2002,24,11
iq,2002,25,11
iq,2002,26,3
iq,2002,27,7
iq,2002,28,7
iq,2002,29,4
iq,2002,30,5
iq,2002,31,6
iq,2002,32,7
iq,2002,33,7
iq,2002,34,4
iq,2002,35,9
iq,2002,36,17
iq,2002,37,8
iq,2002,38,22
iq,2002,39,18
iq,2002,40,21
iq,2002,41,16
iq,2002,42,31
iq,2002,43,25
iq,2002,44,28
iq,2002,45,26
iq,2002,46,18
iq,2002,47,27
iq,2002,48,11
iq,2002,49,38
iq,2002,50,29
iq,2002,51,21
iq,2002,52,11
iq,2003,1,10
iq,2003,2,5
iq,2003,3,6
iq,2003,4,2
iq,2003,5,1
iq,2003,6,2
iq,2003,7,2
iq,2003,8,3
iq,2003,9,5
iq,2003,10,1
iq,2003,11,4
iq,2003,12,2
iq,2003,13,4
iq,2003,14,0
iq,2003,15,0
iq,2003,16,0
iq,2003,17,0
iq,2003,18,1
iq,2003,19,1
iq,2003,20,1
iq,2003,21,1
iq,2003,22,1
iq,2003,23,2
iq,2003,24,3
iq,2003,25,4
iq,2003,26,6
iq,2003,27,2
iq,2003,28,2
iq,2003,29,5
iq,2003,30,1
iq,2003,31,1
iq,2003,32,0
iq,2003,33,0
iq,2003,34,0
iq,2003,35,0
iq,2003,36,2
iq,2003,37,0
iq,2003,38,3
iq,2003,39,0
iq,2003,40,0
iq,2003,41,0
iq,2003,42,2
iq,2003,43,2
iq,2003,44,3
iq,2003,45,3
iq,2003,46,3
iq,2003,47,1
iq,2003,48,2
iq,2003,49,3
iq,2003,50,6
iq,2003,51,5
iq,2003,52,1
iq,2004,1,4
iq,2004,2,5
iq,2004,3,8
iq,2004,4,5
iq,2004,5,2
iq,2004,6,3
iq,2004,7,3
iq,2004,8,1
iq,2004,9,6
iq,2004,10,4
iq,2004,11,1
iq,2004,12,2
iq,2004,13,3
iq,2004,14,1
iq,2004,15,8
iq,2004,16,4
iq,2004,17,6
iq,2004,18,7
iq,2004,19,5
iq,2004,20,8
iq,2004,21,6
iq,2004,22,5
iq,2004,23,6
iq,2004,24,6
iq,2004,25,13
iq,2004,26,2
iq,2004,27,10
iq,2004,28,3
iq,2004,29,12
iq,2004,30,7
iq,2004,31,6
iq,2004,32,5
iq,2004,33,6
iq,2004,34,6
iq,2004,35,6
iq,2004,36,8
iq,2004,37,6
iq,2004,38,9
iq,2004,39,12
iq,2004,40,19
iq,2004,41,8
iq,2004,42,16
iq,2004,43,21
iq,2004,44,6
iq,2004,45,22
iq,2004,46,37
iq,2004,47,33
iq,2004,48,18
iq,2004,49,83
iq,2004,50,116
iq,2004,51,32
iq,2004,52,7
iq,2005,53,9
iq,2005,1,10
iq,2005,2,5
iq,2005,3,8
iq,2005,4,7
iq,2005,5,8
iq,2005,6,11
iq,2005,7,6
iq,2005,8,7
iq,2005,9,7
iq,2005,10,14
iq,2005,11,7
iq,2005,12,9
iq,2005,13,13
iq,2005,14,16
iq,2005,15,7
iq,2005,16,9
iq,2005,17,2
iq,2005,18,13
iq,2005,19,8
iq,2005,20,3
iq,2005,21,5
iq,2005,22,4
iq,2005,23,8
iq,2005,24,2
iq,2005,25,3
iq,2005,26,5
iq,2005,27,7
iq,2005,28,3
iq,2005,29,5
iq,2005,30,6
iq,2005,31,5
iq,2005,32,5
iq,2005,33,4
iq,2005,34,0
iq,2005,35,0
iq,2005,36,0
iq,2005,37,0
iq,2005,38,0
iq,2005,39,2
iq,2005,40,4
iq,2005,41,4
iq,2005,42,3
iq,2005,43,3
iq,2005,44,5
iq,2005,45,6
iq,2005,46,14
iq,2005,47,3
iq,2005,48,7
iq,2005,49,11
iq,2005,50,2
iq,2005,51,6
iq,2006,52,8
iq,2006,1,25
iq,2006,2,21
iq,2006,3,10
iq,2006,4,28
iq,2006,5,39
iq,2006,6,20
iq,2006,7,24
iq,2006,8,28
iq,2006,9,26
iq,2006,10,8
iq,2006,11,9
iq,2006,12,12
iq,2006,13,18
iq,2006,14,9
iq,2006,15,9
iq,2006,16,6
iq,2006,17,6
iq,2006,18,8
iq,2006,19,5
iq,2006,20,7
iq,2006,21,6
iq,2006,22,5
iq,2006,23,3
iq,2006,24,1
iq,2006,25,0
iq,2006,26,1
iq,2006,27,2
iq,2006,28,3
iq,2006,29,2
iq,2006,30,2
iq,2006,31,2
iq,2006,32,2
iq,2006,33,2
iq,2006,34,4
iq,2006,35,0
iq,2006,36,6
iq,2006,37,3
iq,2006,38,2
iq,2006,39,6
iq,2006,40,2
iq,2006,41,7
iq,2006,42,4
iq,2006,43,6
iq,2006,44,6
iq,2006,45,2
iq,2006,46,13
iq,2006,47,10
iq,2006,48,5
iq,2006,49,2
iq,2006,50,0
iq,2006,51,1
iq,2007,1,0
iq,2007,2,14
iq,2007,3,6
iq,2007,4,10
iq,2007,5,5
iq,2007,6,12
iq,2007,7,9
iq,2007,8,5
iq,2007,9,11
iq,2007,10,2
iq,2007,11,6
iq,2007,12,7
iq,2007,13,6
iq,2007,14,5
iq,2007,15,9
iq,2007,16,5
iq,2007,17,8
iq,2007,18,3
iq,2007,19,4
iq,2007,20,11
iq,2007,21,5
iq,2007,22,8
iq,2007,23,4
iq,2007,24,3
iq,2007,25,1
iq,2007,26,2
iq,2007,27,3
iq,2007,28,4
iq,2007,29,1
iq,2007,30,8
iq,2007,31,5
iq,2007,32,3
iq,2007,33,2
iq,2007,34,7
iq,2007,35,1
iq,2007,36,6
iq,2007,37,7
iq,2007,38,5
iq,2007,39,2
iq,2007,40,6
iq,2007,41,11
iq,2007,42,6
iq,2007,43,3
iq,2007,44,11
iq,2007,45,11
iq,2007,46,5
iq,2007,47,4
iq,2007,48,9
iq,2007,49,23
iq,2007,50,28
iq,2007,51,26
iq,2007,52,7
iq,2008,1,29
iq,2008,2,58
iq,2008,3,26
iq,2008,4,38
iq,2008,5,35
iq,2008,6,37
iq,2008,7,20
iq,2008,8,29
iq,2008,9,25
iq,2008,10,23
iq,2008,11,9
iq,2008,12,3
iq,2008,13,6
iq,2008,14,6
iq,2008,15,3
iq,2008,16,1
iq,2008,17,3
iq,2008,18,1
iq,2008,19,1
iq,2008,20,0
iq,2008,21,2
iq,2008,22,1
iq,2008,23,1
iq,2008,24,0
iq,2008,25,0
iq,2008,26,1
iq,2008,27,0
iq,2008,28,3
iq,2008,29,3
iq,2008,30,1
iq,2008,31,5
iq,2008,32,2
iq,2008,33,5
iq,2008,34,5
iq,2008,35,5
iq,2008,36,9
iq,2008,37,17
iq,2008,38,19
iq,2008,39,25
iq,2008,40,45
iq,2008,41,34
iq,2008,42,63
iq,2008,43,44
iq,2008,44,50
iq,2008,45,35
iq,2008,46,16
iq,2008,47,16
iq,2008,48,13
iq,2008,49,9
iq,2008,50,15
iq,2008,51,4
iq,2008,52,0
iq,2009,1,1
iq,2009,2,10
iq,2009,3,11
iq,2009,4,29
iq,2009,5,35
iq,2009,6,30
iq,2009,7,20
iq,2009,8,21
iq,2009,9,12
iq,2009,10,9
iq,2009,11,11
iq,2009,12,9
iq,2009,13,5
iq,2009,14,11
iq,2009,15,3
iq,2009,16,5
iq,2009,17,5
iq,2009,18,4
iq,2009,19,4
iq,2009,20,1
iq,2009,21,0
iq,2009,22,2
iq,2009,23,3
iq,2009,24,3
iq,2009,25,5
iq,2009,26,2
iq,2009,27,1
iq,2009,28,2
iq,2009,29,0
iq,2009,30,0
iq,2009,31,3
iq,2009,32,5
iq,2009,33,5
iq,2009,34,7
iq,2009,35,5
iq,2009,36,2
iq,2009,37,2
iq,2009,38,2
iq,2009,39,0
iq,2009,40,2
iq,2009,41,1
iq,2009,42,1
iq,2009,43,2
iq,2009,44,2
iq,2009,45,3
iq,2009,46,9
iq,2009,47,5
iq,2009,48,5
iq,2009,49,4
iq,2009,50,4
iq,2009,51,1
iq,2009,52,0
iq,2010,53,0
iq,2010,1,10
iq,2010,2,9
iq,2010,3,17
iq,2010,4,16
iq,2010,5,11
iq,2010,6,12
iq,2010,7,19
iq,2010,8,15
iq,2010,9,12
iq,2010,10,12
iq,2010,11,16
iq,2010,12,9
iq,2010,13,4
iq,2010,14,9
iq,2010,15,6
iq,2010,16,8
iq,2010,17,4
iq,2010,18,2
iq,2010,19,7
iq,2010,20,6
iq,2010,21,5
iq,2010,22,8
iq,2010,23,1
iq,2010,24,1
iq,2010,25,4
